model,comparison,group_A,group_B,metric,n_iters,mean_A,mean_B,mean_diff,t_statistic,p_value,cohens_d,ci_95_lower,ci_95_upper,significant
ENLR,single_pass → multi_agent_all,single_pass,multi_agent_all,recall,50,0.879099,0.873694,-0.005405,-1.9583,0.0559,-0.2769,-0.010952,0.000142,No
ENLR,single_pass → multi_agent_all,single_pass,multi_agent_all,f1,50,0.611946,0.611666,-0.00028,-0.1061,0.916,-0.015,-0.005578,0.005018,No
ENLR,single_pass → multi_agent_all,single_pass,multi_agent_all,pr_auc,50,0.78395,0.794658,0.010708,4.8903,0.0,0.6916,0.006307,0.015108,Yes
ENLR,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,accuracy,50,0.928355,0.929516,0.001161,2.9907,0.0043,0.423,0.000381,0.001941,Yes
ENLR,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,recall,50,0.872252,0.873694,0.001441,0.8053,0.4246,0.1139,-0.002156,0.005039,No
ENLR,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,f1,50,0.607062,0.611666,0.004604,2.7939,0.0074,0.3951,0.001292,0.007915,Yes
ENLR,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,pr_auc,50,0.794709,0.794658,-5.1e-05,-0.0432,0.9657,-0.0061,-0.002442,0.002339,No
ENLR,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,accuracy,50,0.929129,0.929516,0.000387,0.8694,0.3889,0.1229,-0.000508,0.001282,No
ENLR,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,recall,50,0.873694,0.873694,0.0,0.0,1.0,0.0,-0.003546,0.003546,No
ENLR,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,f1,50,0.610217,0.611666,0.001449,0.7928,0.4317,0.1121,-0.002224,0.005123,No
ENLR,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,pr_auc,50,0.795246,0.794658,-0.000588,-0.6256,0.5345,-0.0885,-0.002478,0.001302,No
ENLR,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,accuracy,50,0.929129,0.929516,0.000387,0.7371,0.4646,0.1042,-0.000668,0.001442,No
ENLR,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,recall,50,0.873153,0.873694,0.000541,0.1938,0.8471,0.0274,-0.005064,0.006145,No
ENLR,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,f1,50,0.610037,0.611666,0.001629,0.7552,0.4537,0.1068,-0.002705,0.005963,No
ENLR,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,pr_auc,50,0.793573,0.794658,0.001085,0.7196,0.4752,0.1018,-0.001944,0.004113,No
RF,base → single_pass,base,single_pass,accuracy,50,0.980319,0.980899,0.000581,2.8093,0.0071,0.3973,0.000165,0.000996,Yes
RF,base → single_pass,base,single_pass,recall,50,0.709189,0.721622,0.012432,3.9191,0.0003,0.5542,0.006057,0.018807,Yes
RF,base → single_pass,base,single_pass,f1,50,0.81929,0.826168,0.006879,3.2074,0.0024,0.4536,0.002569,0.011189,Yes
RF,base → single_pass,base,single_pass,pr_auc,50,0.918128,0.921323,0.003195,2.8731,0.006,0.4063,0.00096,0.005429,Yes
RF,base → multi_agent_all,base,multi_agent_all,accuracy,50,0.980319,0.980729,0.00041,1.6543,0.1045,0.234,-8.8e-05,0.000908,No
RF,base → multi_agent_all,base,multi_agent_all,recall,50,0.709189,0.714595,0.005405,1.6448,0.1064,0.2326,-0.001199,0.012009,No
RF,base → multi_agent_all,base,multi_agent_all,f1,50,0.81929,0.823404,0.004115,1.6547,0.1044,0.234,-0.000883,0.009112,No
RF,base → multi_agent_all,base,multi_agent_all,pr_auc,50,0.918128,0.91824,0.000112,0.1012,0.9198,0.0143,-0.002111,0.002335,No
RF,single_pass → multi_agent_all,single_pass,multi_agent_all,accuracy,50,0.980899,0.980729,-0.000171,-0.6981,0.4884,-0.0987,-0.000662,0.000321,No
RF,single_pass → multi_agent_all,single_pass,multi_agent_all,recall,50,0.721622,0.714595,-0.007027,-2.2419,0.0295,-0.317,-0.013326,-0.000728,Yes
RF,single_pass → multi_agent_all,single_pass,multi_agent_all,f1,50,0.826168,0.823404,-0.002764,-1.1523,0.2548,-0.163,-0.007584,0.002056,No
RF,single_pass → multi_agent_all,single_pass,multi_agent_all,pr_auc,50,0.921323,0.91824,-0.003083,-2.8241,0.0068,-0.3994,-0.005276,-0.000889,Yes
RF,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,accuracy,50,0.980797,0.980729,-6.8e-05,-0.2936,0.7703,-0.0415,-0.000536,0.000399,No
RF,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,recall,50,0.713874,0.714595,0.000721,0.2311,0.8182,0.0327,-0.005547,0.006989,No
RF,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,f1,50,0.823807,0.823404,-0.000402,-0.1715,0.8645,-0.0243,-0.005115,0.00431,No
RF,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,pr_auc,50,0.919667,0.91824,-0.001427,-1.2576,0.2145,-0.1779,-0.003707,0.000853,No
